"","st","year","a_mean_dentist","a_mean_doctor","a_mean_nurse","a_mean_den_doc","a_mean_den_nurse"
"346","MI",2017,187430,191260,69120,0.979974903273031,2.71166087962963
"347","MI",2018,197490,207110,71330,0.953551252957366,2.76868077947568
"348","MN",2004,135250,147150,57130,0.919130139313626,2.36740766672501
"349","MN",2005,142470,147750,60500,0.964263959390863,2.35487603305785
"350","MN",2006,146740,152030,64120,0.965204236006051,2.28852152214598
"351","MN",2007,154820,161560,67510,0.958281752909136,2.2932898829803
"352","MN",2008,166480,165290,70560,1.0071994676024,2.359410430839
"353","MN",2009,172560,174610,72760,0.98825954985396,2.37163276525563
"354","MN",2010,186350,170410,73770,1.09353911155449,2.52609461840857
"355","MN",2011,188500,173930,74250,1.08376933249008,2.53872053872054
"356","MN",2012,196630,175380,70780,1.12116546926673,2.77804464538005
"357","MN",2013,193100,184880,71160,1.04446127217655,2.71360314783586
"358","MN",2014,193690,183010,71450,1.05835746680509,2.71084674597621
"359","MN",2015,193320,190140,72310,1.01672451877564,2.67348914396349
"360","MN",2016,205810,201560,73940,1.02108553284382,2.78347308628618
"361","MN",2017,210320,219360,77540,0.958789204959883,2.71240649987103
"362","MN",2018,227280,221700,78920,1.02516914749662,2.87987835783071
"363","MO",2004,119190,124220,48220,0.959507325712446,2.47179593529656
"364","MO",2005,144380,151870,50650,0.950681503917824,2.85054294175716
"365","MO",2006,146990,157330,53150,0.934278268607386,2.76556914393227
"366","MO",2007,165630,143870,54710,1.1512476541322,3.02741729117163
"367","MO",2008,166830,150980,56670,1.1049807921579,2.94388565378507
"368","MO",2009,143080,154590,57460,0.925544989973478,2.49008005569092
"369","MO",2010,133430,187760,59140,0.710641244141457,2.25617179573892
"370","MO",2011,134180,184570,59620,0.726987050983367,2.25058705132506
"371","MO",2012,152560,172480,56990,0.884508348794063,2.67696087032813
"372","MO",2013,165930,132390,58040,1.25334239746204,2.85889042039972
"373","MO",2014,168650,149430,58040,1.12862209730309,2.90575465196416
"374","MO",2015,166000,155480,59150,1.06766143555441,2.80642434488588
"375","MO",2016,172720,170460,60830,1.01325824240291,2.83938845964162
"376","MO",2017,180350,172940,63300,1.04284723025327,2.84913112164297
"377","MO",2018,191240,191110,65130,1.000680236513,2.93628128358667
"378","MS",2004,68100,147610,46680,0.461350856988009,1.45886889460154
"379","MS",2005,140310,158470,48460,0.885404177446835,2.89537763103591
"380","MS",2006,131240,169240,50130,0.775466792720397,2.61799321763415
"381","MS",2007,144170,170790,53400,0.844136073540605,2.6998127340824
"382","MS",2008,147480,174870,56160,0.843369360096071,2.62606837606838
"383","MS",2009,162050,173730,57630,0.932769239624705,2.81190352247094
"384","MS",2010,150730,175750,57940,0.857638691322902,2.60148429409734
"385","MS",2011,153590,178440,59480,0.860737502802062,2.58221250840619
"386","MS",2012,158560,169510,57740,0.935402041177512,2.74610322133703
"387","MS",2013,164110,191090,56530,0.858809984823905,2.90306032195295
"388","MS",2014,152490,205360,56560,0.742549668874172,2.69607496463932
"389","MS",2015,178610,223250,56980,0.800044792833147,3.13460863460863
"390","MS",2016,172600,226640,57010,0.761560183551006,3.02753902824066
"391","MS",2017,182520,218640,57700,0.834796926454446,3.1632582322357
"392","MS",2018,153810,227390,58490,0.676414969875544,2.62968028722859
"393","MT",2004,93520,115930,46070,0.806693694470801,2.02995441719123
"394","MT",2005,82010,121550,48460,0.674701768819416,1.69232356582749
"395","MT",2006,121610,123140,51550,0.987575117752152,2.35906886517944
"396","MT",2007,117980,130580,53320,0.903507428396385,2.21267816954239
"397","MT",2008,139380,135220,55060,1.0307646797811,2.53142026879768
"398","MT",2009,123230,137580,56380,0.895697048989679,2.18570415040795
"399","MT",2010,116220,150050,57860,0.774541819393536,2.0086415485655
"400","MT",2011,119590,154210,60190,0.775500940276247,1.98687489616215
"401","MT",2012,111410,159640,59920,0.697882736156352,1.85931241655541
"402","MT",2013,131120,164910,60700,0.795100357770905,2.16013179571664
"403","MT",2014,130390,191730,61810,0.680070933082981,2.10952920239443
"404","MT",2015,147250,191970,62650,0.767046934416836,2.35035913806864
"405","MT",2016,176050,196600,64300,0.895473041709054,2.73794712286159
"406","MT",2017,161060,189490,66280,0.84996569739828,2.42999396499698
"407","MT",2018,170260,214710,67450,0.792976573052024,2.52424017790956
"408","NC",2004,170290,144650,49580,1.1772554441756,3.43465106897943
"409","NC",2005,164440,149070,51970,1.1031059233917,3.16413315374254
"410","NC",2006,165190,163800,53770,1.00848595848596,3.07215919657802
"411","NC",2007,178180,171340,55920,1.03992062565659,3.18633762517883
"412","NC",2008,182500,178960,57790,1.01978095663835,3.15798581069389
"413","NC",2009,193600,185050,58880,1.04620372872197,3.28804347826087
"414","NC",2010,196060,187270,60260,1.04693757676083,3.25356787255227
"415","NC",2011,202380,183240,60960,1.10445317616241,3.31988188976378
"416","NC",2012,200200,189850,58760,1.05451672372926,3.4070796460177
"417","NC",2013,187210,192140,59290,0.974341625897783,3.1575307809074
"418","NC",2014,205820,200710,60030,1.02545961835484,3.42861902382142
"419","NC",2015,211370,195980,60460,1.07852842126748,3.49603043334436
"420","NC",2016,236020,204670,61330,1.15317340108467,3.848361323985
"421","NC",2017,225890,201500,62560,1.12104218362283,3.610773657289
"422","NC",2018,212160,221220,64850,0.95904529427719,3.27154973014649
"423","ND",2004,152730,169020,45400,0.903620873269436,3.36409691629956
"425","ND",2006,136610,155870,50720,0.87643549111439,2.69341482649842
"426","ND",2007,145640,149460,53610,0.974441322092868,2.7166573400485
"427","ND",2008,181380,164690,55260,1.10134191511324,3.28230184581976
"428","ND",2009,196450,183600,56110,1.06998910675381,3.50115843878097
"429","ND",2010,207810,190820,57020,1.08903678859658,3.6445106980007
"430","ND",2011,205760,193730,57600,1.06209673256594,3.57222222222222
"431","ND",2012,200510,184740,53520,1.08536321316445,3.74644992526158
"432","ND",2013,208960,177880,56030,1.1747245333933,3.72943066214528
"433","ND",2014,183600,173590,58120,1.05766461201682,3.15898141775637
"434","ND",2015,214450,191930,58890,1.11733444484968,3.64153506537613
"435","ND",2016,202240,206930,60840,0.977335330788189,3.3241288625904
"436","ND",2017,238170,224820,63140,1.05938083800374,3.77209375989864
"437","NE",2004,146380,141830,47680,1.032080659945,3.07005033557047
"438","NE",2005,132920,155830,50000,0.852980812423795,2.6584
"439","NE",2006,140590,169260,51410,0.830615620938202,2.73468196848862
"440","NE",2007,153360,160640,52520,0.954681274900398,2.92003046458492
